date,goods_inflation
2018-03-24,120.9
2018-03-25,120.9
2018-03-26,120.9
2018-03-27,120.9
2018-03-28,120.9
2018-03-29,120.9
2018-03-30,120.9
2018-03-31,120.9
2018-04-01,122.0
2018-04-02,122.0
2018-04-03,122.0
2018-04-04,122.0
2018-04-05,122.0
2018-04-06,122.0
2018-04-07,122.0
2018-04-08,122.0
2018-04-09,122.0
2018-04-10,122.0
2018-04-11,122.0
2018-04-12,122.0
2018-04-13,122.0
2018-04-14,122.0
2018-04-15,122.0
2018-04-16,122.0
2018-04-17,122.0
2018-04-18,122.0
2018-04-19,122.0
2018-04-20,122.0
2018-04-21,122.0
2018-04-22,122.0
2018-04-23,122.0
2018-04-24,122.0
2018-04-25,122.0
2018-04-26,122.0
2018-04-27,122.0
2018-04-28,122.0
2018-04-29,122.0
2018-04-30,122.0
2018-05-01,121.6
2018-05-02,121.6
2018-05-03,121.6
2018-05-04,121.6
2018-05-05,121.6
2018-05-06,121.6
2018-05-07,121.6
2018-05-08,121.6
2018-05-09,121.6
2018-05-10,121.6
2018-05-11,121.6
2018-05-12,121.6
2018-05-13,121.6
2018-05-14,121.6
2018-05-15,121.6
2018-05-16,121.6
2018-05-17,121.6
2018-05-18,121.6
2018-05-19,121.6
2018-05-20,121.6
2018-05-21,121.6
2018-05-22,121.6
2018-05-23,121.6
2018-05-24,121.6
2018-05-25,121.6
2018-05-26,121.6
2018-05-27,121.6
2018-05-28,121.6
2018-05-29,121.6
2018-05-30,121.6
2018-05-31,121.6
2018-06-01,121.7
2018-06-02,121.7
2018-06-03,121.7
2018-06-04,121.7
2018-06-05,121.7
2018-06-06,121.7
2018-06-07,121.7
2018-06-08,121.7
2018-06-09,121.7
2018-06-10,121.7
2018-06-11,121.7
2018-06-12,121.7
2018-06-13,121.7
2018-06-14,121.7
2018-06-15,121.7
2018-06-16,121.7
2018-06-17,121.7
2018-06-18,121.7
2018-06-19,121.7
2018-06-20,121.7
2018-06-21,121.7
2018-06-22,121.7
2018-06-23,121.7
2018-06-24,121.7
2018-06-25,121.7
2018-06-26,121.7
2018-06-27,121.7
2018-06-28,121.7
2018-06-29,121.7
2018-06-30,121.7
2018-07-01,121.6
2018-07-02,121.6
2018-07-03,121.6
2018-07-04,121.6
2018-07-05,121.6
2018-07-06,121.6
2018-07-07,121.6
2018-07-08,121.6
2018-07-09,121.6
2018-07-10,121.6
2018-07-11,121.6
2018-07-12,121.6
2018-07-13,121.6
2018-07-14,121.6
2018-07-15,121.6
2018-07-16,121.6
2018-07-17,121.6
2018-07-18,121.6
2018-07-19,121.6
2018-07-20,121.6
2018-07-21,121.6
2018-07-22,121.6
2018-07-23,121.6
2018-07-24,121.6
2018-07-25,121.6
2018-07-26,121.6
2018-07-27,121.6
2018-07-28,121.6
2018-07-29,121.6
2018-07-30,121.6
2018-07-31,121.6
2018-08-01,121.4
2018-08-02,121.4
2018-08-03,121.4
2018-08-04,121.4
2018-08-05,121.4
2018-08-06,121.4
2018-08-07,121.4
2018-08-08,121.4
2018-08-09,121.4
2018-08-10,121.4
2018-08-11,121.4
2018-08-12,121.4
2018-08-13,121.4
2018-08-14,121.4
2018-08-15,121.4
2018-08-16,121.4
2018-08-17,121.4
2018-08-18,121.4
2018-08-19,121.4
2018-08-20,121.4
2018-08-21,121.4
2018-08-22,121.4
2018-08-23,121.4
2018-08-24,121.4
2018-08-25,121.4
2018-08-26,121.4
2018-08-27,121.4
2018-08-28,121.4
2018-08-29,121.4
2018-08-30,121.4
2018-08-31,121.4
2018-09-01,121.1
2018-09-02,121.1
2018-09-03,121.1
2018-09-04,121.1
2018-09-05,121.1
2018-09-06,121.1
2018-09-07,121.1
2018-09-08,121.1
2018-09-09,121.1
2018-09-10,121.1
2018-09-11,121.1
2018-09-12,121.1
2018-09-13,121.1
2018-09-14,121.1
2018-09-15,121.1
2018-09-16,121.1
2018-09-17,121.1
